Ticker;Name;Exchange;About_en;About_es;Url;CedearRatio;Currency;Ready
MIRG;Mirgor S.A.;BCBA;<b>Mirgor</b> is a company that aims to transform the local and regional industry. It has 8 business units. Its manufacturing unit has 8 industrial sites to produce cell phones, consumer electronics and supply the automotive industry. It has presence in Paraguay and Uruguay and more than 3500 employees.;<b>Mirgor</b> es una compañía que pretende transformar la industria local y regional. Tiene 8 unidades de negocio. Su unidad de manufactura cuenta con 8 sitios industriales para producir teléfonos móviles, electrónica de consumo y abastecer a la industria automotriz. Tiene presencia en Paraguay y Uruguay y más de 3500 empleados.;https://mirgor.com;-;ARS;True
MOLA;Molinos Agro S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
MOLI;Molinos Rio De La Plata S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
MORI;Morixe Hermanos S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
MTR;Matba Rofex S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
OEST;Grupo Concesionario Del Oeste S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
PAMP;Pampa Energia S.A;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
PATA;Importadora Y Exportadora De La Patagonia S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
POLL;Polledo S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
REGE;Garcia Reguera S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
RICH;Laboratorios Richmond S.A.C.I.F.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
RIGO;Rigolleau S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
ROSE;Instituto Rosenbusch S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
SAMI;S.A. San Miguel A.G.I.C.I. Y F.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
SEMI;Molinos Juan Semino S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
SUPV;Grupo Supervielle S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
